player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Brenden Aaronson,us USA,"FW,MF",0,25-012,2000,10.0,7.0,638.0,1.0,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,1.6,1.6,0.0,0.23,0.0,0.0,0.23,0.0,7.1,0.0,5.0,0.0,41.7,0.0,0.71,0.08,0.2,0.14,-0.6,-0.6,144.0,179.0,80.4,2019.0,451.0,81.0,93.0,87.1,56.0,68.0,82.4,1.0,6.0,16.7,0.0,10.0,11.0,9.0,4.0,20.0,162.0,15.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,3.0,22.0,3.1,14.0,0.0,0.0,4.0,1.0,3.0,0.42,1.0,0.0,0.0,2.0,0.0,0.0,17.0,9.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,7.0,10.0,0.0,286.0,6.0,51.0,120.0,120.0,18.0,286.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,17.0,9.0,2.0,0.0,171.0,0.0,21.0,16.0,0.0,4.0,17.0,1.0,0.0,0.0,0.0,26.0,4.0,8.0,33.3
Joshua Acheampong,eng ENG,DF,0,19-182,2006,5.0,4.0,349.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,0.6,0.6,0.0,0.16,0.0,0.0,0.16,0.0,3.9,0.0,2.0,0.0,66.7,0.0,0.52,0.33,0.5,0.2,+0.4,+0.4,273.0,296.0,92.2,4588.0,1044.0,122.0,130.0,93.8,143.0,147.0,97.3,6.0,15.0,40.0,0.0,0.0,8.0,0.0,0.0,11.0,284.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,7.0,13.0,4.0,330.0,28.0,133.0,179.0,21.0,4.0,330.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,4.0,5.0,0.0,0.0,255.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,16.0,9.0,3.0,75.0
Tyler Adams,us USA,MF,0,26-262,1999,10.0,10.0,862.0,1.0,1.0,0.0,0.0,4.0,0.0,0.1,0.1,0.21,0.1,0.21,0.4,0.4,0.0,0.04,0.0,0.0,0.04,0.0,9.6,0.0,5.0,0.0,71.4,0.0,0.52,0.14,0.2,0.06,+0.6,+0.6,420.0,493.0,85.2,7066.0,1728.0,180.0,203.0,88.7,212.0,233.0,91.0,21.0,35.0,60.0,0.0,2.0,39.0,0.0,0.0,40.0,476.0,17.0,16.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.94,8.0,0.0,0.0,0.0,0.0,3.0,0.31,2.0,0.0,0.0,0.0,0.0,1.0,29.0,14.0,13.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,12.0,17.0,19.0,0.0,608.0,37.0,171.0,359.0,85.0,5.0,608.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,5.0,10.0,0.0,0.0,342.0,0.0,9.0,5.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,50.0,6.0,12.0,33.3
Tosin Adarabioyo,eng ENG,DF,0,28-040,1997,7.0,3.0,381.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,325.0,363.0,89.5,5946.0,2119.0,107.0,115.0,93.0,199.0,213.0,93.4,17.0,29.0,58.6,0.0,0.0,17.0,1.0,0.0,15.0,341.0,20.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,26.0,0.0,405.0,55.0,202.0,196.0,7.0,2.0,405.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,2.0,1.0,0.0,0.0,281.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0,19.0,11.0,63.3
Simon Adingra,ci CIV,FW,0,23-306,2002,6.0,4.0,273.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.05,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.1,-0.1,48.0,69.0,69.6,803.0,94.0,22.0,28.0,78.6,20.0,22.0,90.9,3.0,7.0,42.9,0.0,5.0,0.0,4.0,2.0,2.0,68.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,2.64,7.0,0.0,0.0,0.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,103.0,3.0,13.0,35.0,55.0,3.0,103.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,6.0,1.0,1.0,0.0,77.0,0.0,5.0,7.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,7.0,3.0,5.0,37.5
Amine Adli,ma MAR,"FW,MF",0,25-177,2000,7.0,1.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.05,0.0,2.1,0.0,2.0,1.0,100.0,0.0,0.95,0.0,0.0,0.05,-0.1,-0.1,58.0,82.0,70.7,824.0,186.0,36.0,43.0,83.7,17.0,22.0,77.3,3.0,6.0,50.0,0.0,4.0,2.0,1.0,0.0,5.0,75.0,7.0,0.0,1.0,0.0,1.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,8.0,3.83,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,2.0,5.0,0.0,121.0,2.0,27.0,43.0,54.0,6.0,121.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,5.0,4.0,0.0,0.0,65.0,0.0,4.0,2.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,16.0,4.0,5.0,44.4
Emmanuel Agbadou,ci CIV,DF,0,28-139,1997,8.0,6.0,561.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.06,0.0,0.0,0.06,0.0,6.2,0.0,2.0,1.0,33.3,0.0,0.32,0.0,0.0,0.06,-0.4,-0.4,304.0,383.0,79.4,6873.0,2697.0,75.0,84.0,89.3,183.0,204.0,89.7,44.0,89.0,49.4,0.0,2.0,38.0,5.0,2.0,26.0,357.0,25.0,14.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,4.0,7.0,1.12,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,1.0,5.0,37.0,2.0,463.0,62.0,217.0,216.0,33.0,5.0,463.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,3.0,7.0,0.0,0.0,307.0,0.0,7.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,31.0,16.0,8.0,66.7
Nayef Aguerd,ma MAR,DF,0,29-218,1996,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.05,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.1,-0.1,106.0,119.0,89.1,1731.0,663.0,52.0,53.0,98.1,47.0,49.0,95.9,5.0,13.0,38.5,0.0,0.0,12.0,0.0,0.0,9.0,113.0,6.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,11.0,0.0,143.0,14.0,62.0,72.0,9.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,2.0,2.0,0.0,0.0,93.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,57.1
Ola Aina,ng NGA,DF,0,29-026,1996,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,125.0,157.0,79.6,2161.0,962.0,58.0,59.0,98.3,56.0,70.0,80.0,9.0,21.0,42.9,0.0,2.0,13.0,2.0,1.0,11.0,131.0,26.0,5.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,14.0,0.0,203.0,13.0,70.0,75.0,62.0,3.0,203.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,5.0,4.0,1.0,0.0,108.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,20.0,4.0,2.0,66.7
Rayan Aït-Nouri,dz ALG,DF,0,24-150,2001,4.0,3.0,203.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,109.0,125.0,87.2,1576.0,386.0,67.0,74.0,90.5,40.0,41.0,97.6,2.0,5.0,40.0,0.0,2.0,6.0,0.0,0.0,7.0,104.0,21.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,6.0,4.0,1.77,4.0,0.0,0.0,0.0,0.0,1.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,9.0,0.0,168.0,10.0,60.0,66.0,42.0,2.0,168.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,7.0,2.0,0.0,0.0,98.0,0.0,4.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,60.0
