team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,25.0,56.9,38.0,418.0,"3,420",67.0,55.0,2.0,2.0,70.0,6.0,1.76,1.45,3.21,1.71,3.16,59.9,58.4,0.0,1.58,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,10.0,32.7,0.0,4.68,0.12,0.37,0.11,+7.1,+6.6,17066.0,20241.0,84.3,278808.0,87055.0,8591.0,9363.0,91.8,7129.0,7999.0,89.1,1031.0,2022.0,51.0,0.0,428.0,1397.0,437.0,75.0,1826.0,18608.0,1553.0,432.0,80.0,0.0,74.0,766.0,251.0,211.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,80.0,0.0,0.0,278.0,969.0,25.5,726.0,82.0,0.0,64.0,34.0,119.0,3.13,86.0,11.0,0.0,11.0,4.0,1.0,598.0,348.0,220.0,249.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,106.0,0.0,222.0,225.0,680.0,33.0,24056.0,1844.0,6064.0,10362.0,7808.0,1282.0,24054.0,0.0,0.0,0.0,0.0,0.0,14234.0,0.0,0.0,852.0,540.0,286.0,0.0,16894.0,0.0,483.0,382.0,3.0,401.0,405.0,80.0,2.0,3.0,0.0,1436.0,471.0,465.0,50.3
Aston Villa,28.0,50.5,38.0,418.0,"3,420",56.0,45.0,3.0,6.0,76.0,4.0,1.47,1.18,2.66,1.39,2.58,56.1,51.3,0.0,1.48,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,12.0,33.3,0.0,4.18,0.11,0.33,0.11,-0.1,+1.7,14701.0,17797.0,82.6,252637.0,88182.0,6778.0,7510.0,90.3,6555.0,7386.0,88.7,1088.0,2065.0,52.7,0.0,358.0,1137.0,319.0,56.0,1344.0,16044.0,1698.0,583.0,95.0,0.0,58.0,604.0,230.0,148.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0,55.0,0.0,0.0,346.0,849.0,22.34,602.0,85.0,0.0,58.0,39.0,102.0,2.68,80.0,7.0,0.0,6.0,4.0,2.0,637.0,372.0,293.0,249.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,107.0,0.0,222.0,240.0,788.0,43.0,21699.0,2646.0,7301.0,9257.0,5362.0,951.0,21693.0,0.0,0.0,0.0,0.0,0.0,12334.0,0.0,0.0,720.0,448.0,212.0,0.0,14423.0,0.0,508.0,386.0,2.0,406.0,499.0,55.0,6.0,3.0,0.0,1418.0,378.0,423.0,47.2
Bournemouth,29.0,48.5,38.0,418.0,"3,420",57.0,41.0,6.0,7.0,97.0,3.0,1.5,1.08,2.58,1.34,2.42,64.0,58.5,0.0,1.68,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,10.0,33.4,0.0,5.05,0.09,0.27,0.1,-7.0,-7.5,12977.0,16900.0,76.8,233955.0,86767.0,5648.0,6514.0,86.7,5659.0,6670.0,84.8,1365.0,2819.0,48.4,0.0,437.0,1242.0,339.0,106.0,1489.0,15136.0,1694.0,430.0,59.0,0.0,78.0,832.0,228.0,166.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,70.0,0.0,0.0,314.0,1012.0,26.63,767.0,68.0,0.0,70.0,42.0,93.0,2.45,62.0,6.0,0.0,8.0,10.0,2.0,691.0,399.0,290.0,299.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,136.0,0.0,323.0,351.0,1013.0,22.0,21618.0,2217.0,6444.0,9314.0,6128.0,1005.0,21611.0,0.0,0.0,0.0,0.0,0.0,11733.0,0.0,0.0,754.0,534.0,228.0,0.0,12855.0,0.0,597.0,350.0,0.0,525.0,400.0,70.0,7.0,4.0,0.0,1821.0,573.0,606.0,48.6
Brentford,28.0,47.9,38.0,418.0,"3,420",65.0,44.0,5.0,6.0,62.0,1.0,1.71,1.16,2.87,1.58,2.74,59.0,54.4,0.0,1.55,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,10.0,39.9,0.0,4.55,0.14,0.35,0.13,+6.0,+5.6,13358.0,17100.0,78.1,245539.0,93263.0,5849.0,6739.0,86.8,5826.0,6875.0,84.7,1449.0,2741.0,52.9,0.0,330.0,1104.0,325.0,91.0,1356.0,15453.0,1584.0,386.0,69.0,0.0,71.0,674.0,174.0,139.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,63.0,0.0,0.0,288.0,780.0,20.53,569.0,74.0,0.0,51.0,35.0,113.0,2.97,78.0,11.0,0.0,9.0,9.0,1.0,633.0,380.0,289.0,223.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,199.0,0.0,281.0,285.0,1040.0,28.0,21491.0,3282.0,8328.0,8055.0,5310.0,987.0,21485.0,0.0,0.0,0.0,0.0,0.0,11412.0,0.0,0.0,598.0,380.0,213.0,0.0,13153.0,0.0,549.0,300.0,0.0,320.0,339.0,63.0,6.0,1.0,3.0,1644.0,624.0,567.0,52.4
Brighton,32.0,52.3,38.0,418.0,"3,420",64.0,41.0,7.0,7.0,78.0,3.0,1.68,1.08,2.76,1.5,2.58,58.7,53.3,0.0,1.54,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,25.0,34.8,0.0,4.82,0.11,0.31,0.1,+5.3,+3.7,15820.0,19188.0,82.4,268916.0,90984.0,7629.0,8443.0,90.4,6541.0,7472.0,87.5,1313.0,2397.0,54.8,0.0,377.0,1189.0,339.0,87.0,1539.0,17527.0,1615.0,482.0,77.0,0.0,76.0,704.0,188.0,107.0,48.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,0.0,46.0,0.0,0.0,310.0,933.0,24.55,685.0,70.0,0.0,53.0,55.0,113.0,2.97,78.0,7.0,0.0,6.0,10.0,2.0,705.0,431.0,287.0,297.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,122.0,0.0,317.0,315.0,762.0,29.0,23677.0,2601.0,7503.0,10292.0,6153.0,1085.0,23670.0,0.0,0.0,0.0,0.0,0.0,13919.0,0.0,0.0,816.0,576.0,263.0,0.0,15637.0,0.0,583.0,344.0,2.0,438.0,411.0,46.0,6.0,9.0,2.0,1624.0,518.0,463.0,52.8
Chelsea,29.0,57.1,38.0,418.0,"3,420",61.0,47.0,4.0,5.0,101.0,2.0,1.61,1.24,2.84,1.5,2.74,67.8,63.8,0.0,1.78,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,17.0,34.4,0.0,5.34,0.1,0.28,0.11,-6.8,-6.8,18033.0,21320.0,84.6,311166.0,98339.0,8067.0,8802.0,91.6,8244.0,9120.0,90.4,1369.0,2547.0,53.7,0.0,457.0,1488.0,346.0,73.0,1595.0,19613.0,1642.0,516.0,79.0,0.0,95.0,663.0,234.0,121.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,65.0,0.0,0.0,304.0,1061.0,27.92,811.0,60.0,0.0,70.0,39.0,109.0,2.87,75.0,5.0,0.0,9.0,7.0,4.0,588.0,371.0,243.0,244.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,103.0,0.0,253.0,272.0,695.0,45.0,25217.0,2410.0,7564.0,11375.0,6497.0,1115.0,25212.0,0.0,0.0,0.0,0.0,0.0,14501.0,0.0,0.0,861.0,493.0,317.0,0.0,17888.0,0.0,466.0,297.0,1.0,436.0,444.0,65.0,5.0,6.0,0.0,1577.0,402.0,390.0,50.8
Crystal Palace,29.0,42.8,38.0,418.0,"3,420",49.0,38.0,3.0,4.0,80.0,4.0,1.29,1.0,2.29,1.21,2.21,60.4,57.3,0.0,1.59,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,19.0,34.2,0.0,4.61,0.09,0.26,0.11,-11.4,-11.3,11875.0,15754.0,75.4,213257.0,80237.0,5198.0,6077.0,85.5,5285.0,6317.0,83.7,1137.0,2545.0,44.7,0.0,379.0,886.0,272.0,69.0,1158.0,14066.0,1614.0,440.0,71.0,0.0,59.0,605.0,171.0,115.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,74.0,0.0,0.0,302.0,877.0,23.08,633.0,76.0,0.0,71.0,48.0,89.0,2.34,60.0,8.0,0.0,8.0,6.0,1.0,767.0,450.0,374.0,300.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,144.0,0.0,341.0,334.0,1088.0,19.0,20389.0,2570.0,7689.0,8442.0,4455.0,796.0,20385.0,0.0,0.0,0.0,0.0,0.0,10275.0,0.0,0.0,510.0,354.0,126.0,0.0,11783.0,0.0,491.0,339.0,3.0,417.0,403.0,74.0,4.0,2.0,3.0,1698.0,511.0,636.0,44.6
Everton,26.0,40.9,38.0,418.0,"3,420",39.0,27.0,2.0,2.0,82.0,2.0,1.03,0.71,1.74,0.97,1.68,41.8,40.2,0.0,1.1,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,11.0,34.4,0.0,3.66,0.09,0.27,0.1,-2.8,-3.2,11405.0,14953.0,76.3,215027.0,85013.0,5039.0,5809.0,86.7,4604.0,5451.0,84.5,1526.0,2901.0,52.6,0.0,298.0,1003.0,261.0,92.0,1041.0,13245.0,1627.0,424.0,30.0,0.0,83.0,682.0,154.0,101.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,0.0,81.0,0.0,0.0,295.0,713.0,18.76,530.0,65.0,0.0,31.0,31.0,68.0,1.79,46.0,4.0,0.0,4.0,5.0,3.0,732.0,433.0,366.0,269.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,138.0,0.0,254.0,345.0,1088.0,25.0,19408.0,2462.0,6930.0,7927.0,4762.0,732.0,19406.0,0.0,0.0,0.0,0.0,0.0,9535.0,0.0,0.0,486.0,364.0,119.0,0.0,11309.0,0.0,525.0,390.0,1.0,430.0,384.0,81.0,1.0,2.0,0.0,1524.0,614.0,564.0,52.1
Fulham,26.0,52.3,38.0,418.0,"3,420",53.0,44.0,3.0,4.0,80.0,2.0,1.39,1.16,2.55,1.32,2.47,49.0,45.9,0.0,1.29,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,10.0,32.4,0.0,4.39,0.1,0.3,0.09,+4.0,+4.1,16199.0,19753.0,82.0,289508.0,97635.0,7195.0,8007.0,89.9,7222.0,8198.0,88.1,1504.0,2703.0,55.6,0.0,398.0,1346.0,343.0,108.0,1558.0,18077.0,1633.0,437.0,43.0,0.0,119.0,894.0,203.0,88.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,43.0,0.0,0.0,337.0,940.0,24.74,718.0,73.0,0.0,70.0,25.0,99.0,2.61,80.0,3.0,0.0,4.0,4.0,3.0,679.0,411.0,327.0,259.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,113.0,0.0,269.0,302.0,914.0,33.0,23926.0,2641.0,8095.0,9787.0,6287.0,954.0,23922.0,0.0,0.0,0.0,0.0,0.0,14026.0,0.0,0.0,786.0,544.0,213.0,0.0,16043.0,0.0,515.0,281.0,0.0,432.0,359.0,43.0,3.0,4.0,2.0,1610.0,533.0,532.0,50.0
Ipswich Town,32.0,40.6,38.0,418.0,"3,420",35.0,26.0,2.0,2.0,93.0,5.0,0.92,0.68,1.61,0.87,1.55,34.4,32.8,0.0,0.9,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,10.0,32.1,0.0,3.16,0.09,0.28,0.09,+0.6,+0.2,11524.0,14775.0,78.0,204832.0,77912.0,5157.0,5835.0,88.4,5115.0,5988.0,85.4,1021.0,2184.0,46.7,0.0,283.0,865.0,173.0,54.0,935.0,13146.0,1577.0,434.0,44.0,0.0,60.0,505.0,145.0,111.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,52.0,0.0,0.0,300.0,658.0,17.32,458.0,72.0,0.0,30.0,33.0,58.0,1.53,46.0,2.0,0.0,2.0,2.0,0.0,589.0,340.0,294.0,214.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,185.0,0.0,251.0,303.0,1102.0,39.0,19091.0,3012.0,7764.0,7504.0,4032.0,605.0,19089.0,0.0,0.0,0.0,0.0,0.0,9384.0,0.0,0.0,513.0,330.0,150.0,0.0,11405.0,0.0,538.0,347.0,4.0,430.0,404.0,52.0,2.0,6.0,2.0,1437.0,552.0,533.0,50.9
