team,nationality,16/17,17/18,18/19,19/20,20/21,21/22,22/23,23/24,24/25,25/26,Title Points,Total Points,Country Part
Real Madrid,Esp,33.0,32.0,19.0,17.0,26.0,30.0,29.0,34.0,24.5,12.0,,256.5,36.236
Bayern München,Ger,22.0,29.0,20.0,36.0,27.0,26.0,27.0,28.0,27.25,14.0,,256.25,30.708
Manchester City,Eng,18.0,22.0,25.0,25.0,35.0,27.0,33.0,28.0,14.75,13.0,,240.75,40.27
Paris Saint-Germain,Fra,20.0,19.0,19.0,31.0,24.0,19.0,19.0,23.0,33.5,12.0,,219.5,25.58
FC Barcelona,Esp,23.0,25.0,30.0,24.0,20.0,15.0,9.0,23.0,36.25,11.0,,216.25,36.236
Liverpool,Eng,,30.0,29.0,18.0,24.0,33.0,19.0,20.0,29.5,12.0,,214.5,40.27
Atlético Madrid,Esp,29.0,28.0,20.0,22.0,16.0,19.0,8.0,24.0,26.5,10.0,,202.5,36.236
Manchester United,Eng,26.0,20.0,19.0,22.0,26.0,18.0,19.0,7.0,32.5,,,189.5,40.27
Arsenal,Eng,19.0,21.0,26.0,10.0,23.0,,17.0,22.0,36.0,14.0,,188.0,40.27
Borussia Dortmund,Ger,22.0,10.0,18.0,18.0,22.0,10.0,18.0,29.0,27.75,11.0,,185.75,30.708
Chelsea,Eng,,18.0,30.0,17.0,33.0,25.0,21.0,,30.0,11.0,,185.0,40.27
Juventus,Ita,33.0,23.0,21.0,22.0,21.0,20.0,17.0,,16.25,9.0,,182.25,32.905
AS Roma,Ita,13.0,25.0,17.0,11.0,24.0,23.0,22.0,21.0,14.5,4.0,,174.5,32.905
Internazionale,Ita,4.0,,15.0,25.0,9.0,18.0,29.0,20.0,40.25,14.0,,174.25,32.905
Tottenham Hotspur,Eng,10.0,21.0,26.0,16.0,15.0,5.0,18.0,,32.25,12.0,,155.25,40.27
Bayer Leverkusen,Ger,18.0,,11.0,18.0,10.0,14.0,19.0,29.0,23.25,10.0,,152.25,30.708
FC Porto,Por,17.0,17.0,23.0,7.0,23.0,10.0,18.0,19.0,9.75,5.0,,148.75,21.843
Benfica,Por,17.0,4.0,17.0,10.0,10.0,20.0,25.0,14.0,18.75,6.0,,141.75,21.843
Sevilla,Esp,19.0,21.0,13.0,26.0,19.0,12.0,21.0,6.0,,,,137.0,36.236
Ajax,Ned,22.0,1.5,27.0,13.0,19.0,22.0,8.0,5.0,13.25,6.0,,136.75,20.646
Napoli,Ita,17.0,10.0,18.0,19.0,10.0,9.0,25.0,17.0,,9.0,,134.0,32.905
RB Leipzig,Ger,,17.0,5.0,27.0,17.0,17.0,18.0,18.0,8.0,,,127.0,30.708
Atalanta,Ita,,11.0,2.5,20.0,17.0,16.0,,28.0,21.0,11.0,,126.5,32.905
Olympique Lyon,Fra,22.0,14.0,17.0,23.0,,21.0,,,22.75,6.0,,125.75,25.58
Villarreal,Esp,9.0,8.0,16.0,,30.0,24.0,12.0,16.0,,7.0,,122.0,36.236
Shakhtar Donetsk,Ukr,14.0,19.0,10.0,22.0,14.0,6.0,11.0,10.0,11.0,4.0,,121.0,10.99
Eintracht Frankfurt,Ger,,,24.0,9.0,,28.0,16.0,7.0,23.0,9.0,,116.0,30.708
Sporting CP Lisbon,Por,6.0,17.0,10.0,10.0,2.5,16.0,14.0,12.0,14.5,11.0,,113.0,21.843
Club Brugge,Bel,4.0,1.5,11.0,8.0,11.0,7.0,17.0,21.0,15.75,9.0,,105.25,18.69
FC Salzburg,Aut,5.0,21.0,16.0,10.0,7.0,17.0,9.0,7.0,8.0,3.0,,103.0,13.735
Lazio,Ita,,17.0,6.0,4.0,17.0,9.0,6.0,18.0,26.0,,,103.0,32.905
