player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,eng ENG,DF,0,21,2000,34.0,32.0,"2,881",0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.06,0.06,0.0,0.06,0.8,0.8,0.0,0.03,0.0,0.0,0.03,0.0,32.0,0.0,2.0,0.0,15.4,0.0,0.06,0.0,0.0,0.06,-0.8,-0.8,1107.0,1469.0,75.4,16588.0,6133.0,645.0,713.0,90.5,383.0,511.0,75.0,57.0,160.0,35.6,0.0,20.0,50.0,37.0,9.0,117.0,1130.0,332.0,17.0,5.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,7.0,0.0,0.0,40.0,46.0,1.44,34.0,3.0,0.0,3.0,3.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,64.0,44.0,49.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,19.0,0.0,20.0,28.0,96.0,1.0,1841.0,160.0,721.0,703.0,440.0,23.0,1841.0,0.0,0.0,0.0,0.0,0.0,953.0,0.0,0.0,78.0,47.0,12.0,0.0,1030.0,0.0,38.0,23.0,0.0,27.0,52.0,1.0,0.0,2.0,1.0,154.0,13.0,50.0,20.6
Che Adams,sct SCO,FW,0,25,1996,30.0,23.0,"2,039",7.0,3.0,0.0,0.0,0.0,0.0,0.31,0.13,0.44,0.31,0.44,7.1,7.1,0.0,0.31,0.0,0.0,0.31,0.0,22.7,0.0,24.0,0.0,49.0,0.0,1.06,0.14,0.29,0.15,-0.1,-0.1,304.0,472.0,64.4,4188.0,1017.0,188.0,256.0,73.4,73.0,106.0,68.9,18.0,34.0,52.9,0.0,26.0,24.0,10.0,0.0,33.0,468.0,2.0,0.0,4.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,22.0,51.0,2.25,32.0,0.0,0.0,4.0,11.0,5.0,0.22,3.0,0.0,0.0,0.0,0.0,1.0,13.0,6.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,16.0,8.0,18.0,0.0,712.0,22.0,81.0,293.0,344.0,94.0,712.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,19.0,13.0,13.0,0.0,537.0,0.0,59.0,34.0,0.0,29.0,40.0,7.0,0.0,0.0,0.0,70.0,61.0,91.0,40.1
Rayan Aït-Nouri,dz ALG,"DF,MF",0,20,2001,23.0,20.0,"1,828",1.0,2.0,0.0,0.0,4.0,0.0,0.05,0.1,0.15,0.05,0.15,0.6,0.6,0.0,0.03,0.0,0.0,0.03,0.0,20.3,0.0,4.0,0.0,30.8,0.0,0.2,0.08,0.25,0.04,+0.4,+0.4,763.0,1025.0,74.4,12151.0,4064.0,418.0,472.0,88.6,273.0,361.0,75.6,54.0,141.0,38.3,0.0,17.0,28.0,14.0,10.0,49.0,811.0,211.0,10.0,1.0,0.0,7.0,96.0,29.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,3.0,0.0,0.0,19.0,45.0,2.22,30.0,8.0,0.0,0.0,2.0,6.0,0.3,4.0,1.0,0.0,0.0,1.0,0.0,64.0,36.0,46.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,22.0,22.0,39.0,1.0,1293.0,49.0,459.0,458.0,392.0,39.0,1293.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,0.0,60.0,38.0,19.0,0.0,736.0,0.0,44.0,27.0,0.0,14.0,20.0,3.0,1.0,0.0,0.0,128.0,17.0,13.0,56.7
Kristoffer Ajer,no NOR,DF,0,23,1998,24.0,23.0,"1,995",1.0,3.0,0.0,0.0,5.0,0.0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,0.0,0.04,0.0,0.0,0.04,0.0,22.2,0.0,1.0,0.0,14.3,0.0,0.05,0.14,1.0,0.11,+0.2,+0.2,627.0,892.0,70.3,10133.0,4740.0,303.0,372.0,81.5,255.0,342.0,74.6,47.0,105.0,44.8,0.0,8.0,41.0,13.0,2.0,82.0,734.0,154.0,6.0,2.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,4.0,0.0,0.0,28.0,33.0,1.5,22.0,6.0,0.0,1.0,1.0,7.0,0.32,3.0,1.0,0.0,0.0,1.0,0.0,29.0,18.0,21.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,0.0,8.0,26.0,74.0,0.0,1101.0,108.0,442.0,484.0,181.0,31.0,1101.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,0.0,30.0,25.0,2.0,0.0,530.0,0.0,25.0,7.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,109.0,49.0,31.0,61.3
Nathan Aké,nl NED,DF,0,26,1995,14.0,10.0,923.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.7,0.7,0.0,0.07,0.0,0.0,0.07,0.0,10.3,0.0,2.0,0.0,40.0,0.0,0.2,0.4,1.0,0.13,+1.3,+1.3,796.0,878.0,90.7,13200.0,4534.0,373.0,399.0,93.5,384.0,416.0,92.3,29.0,42.0,69.0,0.0,2.0,63.0,3.0,0.0,57.0,836.0,41.0,15.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,5.0,5.0,0.49,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,8.0,23.0,0.0,956.0,56.0,332.0,525.0,103.0,10.0,956.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,0.0,12.0,12.0,0.0,0.0,741.0,0.0,4.0,3.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,43.0,37.0,12.0,75.5
Marc Albrighton,eng ENG,"FW,DF",0,31,1989,17.0,11.0,"1,132",1.0,2.0,0.0,0.0,3.0,0.0,0.08,0.16,0.24,0.08,0.24,0.5,0.5,0.0,0.04,0.0,0.0,0.04,0.0,12.6,0.0,1.0,0.0,25.0,0.0,0.08,0.25,1.0,0.12,+0.5,+0.5,347.0,558.0,62.2,5152.0,2040.0,220.0,258.0,85.3,86.0,145.0,59.3,26.0,94.0,27.7,0.0,11.0,23.0,8.0,6.0,26.0,452.0,101.0,15.0,2.0,0.0,3.0,78.0,37.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,5.0,0.0,0.0,27.0,19.0,1.51,12.0,4.0,0.0,0.0,3.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,31.0,19.0,16.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,12.0,14.0,20.0,0.0,705.0,35.0,166.0,302.0,243.0,12.0,705.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,21.0,14.0,2.0,0.0,397.0,0.0,21.0,8.0,0.0,6.0,13.0,2.0,0.0,0.0,0.0,65.0,4.0,13.0,23.5
Thiago Alcántara,es ESP,MF,0,30,1991,25.0,17.0,"1,534",1.0,4.0,0.0,0.0,2.0,0.0,0.06,0.23,0.29,0.06,0.29,1.9,1.9,0.0,0.11,0.0,0.0,0.11,0.0,17.0,0.0,6.0,0.0,24.0,0.0,0.35,0.04,0.17,0.08,-0.9,-0.9,1340.0,1508.0,88.9,24737.0,7150.0,573.0,624.0,91.8,594.0,640.0,92.8,150.0,190.0,78.9,0.0,29.0,211.0,26.0,1.0,214.0,1488.0,18.0,10.0,4.0,0.0,17.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,13.0,67.0,3.93,57.0,0.0,0.0,7.0,1.0,6.0,0.35,6.0,0.0,0.0,0.0,0.0,0.0,48.0,29.0,14.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,20.0,26.0,13.0,2.0,1700.0,32.0,247.0,1106.0,362.0,20.0,1700.0,0.0,0.0,0.0,0.0,0.0,1039.0,0.0,0.0,24.0,43.0,1.0,0.0,1279.0,0.0,16.0,13.0,0.0,19.0,13.0,0.0,0.0,0.0,0.0,126.0,31.0,12.0,72.1
Trent Alexander-Arnold,eng ENG,DF,0,22,1998,32.0,32.0,"2,853",2.0,12.0,0.0,0.0,2.0,0.0,0.06,0.38,0.44,0.06,0.44,2.4,2.4,0.0,0.07,0.0,0.0,0.07,0.0,31.7,0.0,15.0,8.0,29.4,0.0,0.47,0.04,0.13,0.05,-0.4,-0.4,2039.0,2757.0,74.0,40112.0,15683.0,841.0,964.0,87.2,811.0,1048.0,77.4,344.0,636.0,54.1,0.0,90.0,245.0,85.0,25.0,267.0,2204.0,548.0,93.0,17.0,0.0,69.0,273.0,131.0,29.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,5.0,0.0,0.0,34.0,160.0,5.05,96.0,53.0,0.0,7.0,1.0,18.0,0.57,13.0,4.0,0.0,1.0,0.0,0.0,40.0,23.0,19.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,18.0,43.0,40.0,0.0,3036.0,71.0,602.0,1386.0,1070.0,83.0,3036.0,0.0,0.0,0.0,0.0,0.0,1504.0,0.0,0.0,53.0,55.0,14.0,0.0,1897.0,0.0,41.0,19.0,0.0,12.0,7.0,11.0,0.0,0.0,0.0,235.0,15.0,13.0,53.6
Alisson,br BRA,GK,0,28,1992,36.0,36.0,"3,240",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.0,1388.0,87.5,28439.0,18286.0,275.0,276.0,99.6,686.0,699.0,98.1,249.0,409.0,60.9,0.0,1.0,16.0,1.0,0.0,1.0,1154.0,234.0,62.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,1.0,1469.0,1042.0,1452.0,17.0,0.0,0.0,1469.0,0.0,0.0,0.0,0.0,0.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,80.0,15.0,1.0,93.8
Allan,br BRA,MF,0,30,1991,28.0,25.0,"2,183",0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.0,0.01,0.0,0.0,0.01,0.0,24.3,0.0,3.0,0.0,42.9,0.0,0.12,0.0,0.0,0.03,-0.2,-0.2,778.0,982.0,79.2,12868.0,4192.0,356.0,405.0,87.9,337.0,402.0,83.8,57.0,102.0,55.9,0.0,15.0,103.0,20.0,3.0,130.0,912.0,66.0,19.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,26.0,38.0,1.57,35.0,0.0,0.0,0.0,1.0,7.0,0.29,5.0,0.0,0.0,0.0,1.0,0.0,74.0,44.0,28.0,39.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,0.0,31.0,23.0,39.0,1.0,1259.0,77.0,324.0,763.0,191.0,7.0,1259.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,26.0,24.0,4.0,0.0,672.0,0.0,38.0,24.0,0.0,30.0,22.0,0.0,1.0,0.0,0.0,191.0,11.0,15.0,42.3
