team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,23.0,57.9,10.0,110.0,900.0,18.0,12.0,2.0,2.0,10.0,0.0,1.8,1.2,3.0,1.6,2.8,16.9,15.3,0.0,1.69,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,29.4,0.0,4.2,0.11,0.38,0.11,+1.1,+0.7,4478.0,5397.0,83.0,78626.0,24193.0,1947.0,2151.0,90.5,2121.0,2368.0,89.6,334.0,660.0,50.6,0.0,97.0,328.0,96.0,11.0,436.0,4961.0,422.0,106.0,38.0,0.0,19.0,193.0,73.0,57.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,14.0,0.0,0.0,73.0,246.0,24.6,173.0,19.0,0.0,26.0,13.0,33.0,3.3,19.0,3.0,0.0,4.0,3.0,1.0,150.0,87.0,64.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,26.0,0.0,76.0,60.0,238.0,5.0,6520.0,566.0,1775.0,3046.0,1752.0,324.0,6518.0,0.0,0.0,0.0,0.0,0.0,3758.0,0.0,0.0,202.0,151.0,54.0,0.0,4412.0,0.0,163.0,77.0,0.0,102.0,102.0,14.0,2.0,0.0,0.0,386.0,153.0,137.0,52.8
Aston Villa,23.0,54.0,10.0,110.0,900.0,9.0,8.0,0.0,0.0,17.0,1.0,0.9,0.8,1.7,0.9,1.7,7.5,7.5,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,30.1,0.0,3.1,0.09,0.29,0.07,+1.5,+1.5,4006.0,4841.0,82.8,70720.0,23742.0,1777.0,1933.0,91.9,1793.0,2011.0,89.2,354.0,673.0,52.6,0.0,76.0,315.0,80.0,16.0,372.0,4344.0,483.0,163.0,28.0,0.0,16.0,172.0,53.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,14.0,0.0,0.0,85.0,180.0,18.0,139.0,18.0,0.0,10.0,6.0,16.0,1.6,14.0,1.0,0.0,0.0,0.0,0.0,141.0,87.0,67.0,58.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,46.0,0.0,66.0,56.0,232.0,6.0,5899.0,802.0,1993.0,2555.0,1393.0,205.0,5899.0,0.0,0.0,0.0,0.0,0.0,3476.0,0.0,0.0,153.0,96.0,30.0,0.0,3923.0,0.0,132.0,107.0,0.0,97.0,129.0,14.0,0.0,1.0,0.0,353.0,121.0,127.0,48.8
Bournemouth,24.0,50.7,10.0,110.0,900.0,17.0,11.0,1.0,1.0,25.0,0.0,1.7,1.1,2.8,1.6,2.7,11.6,10.8,0.0,1.16,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,8.0,37.8,0.0,4.5,0.13,0.36,0.09,+5.4,+5.2,3731.0,4766.0,78.3,65947.0,22753.0,1646.0,1846.0,89.2,1636.0,1898.0,86.2,360.0,759.0,47.4,0.0,82.0,326.0,78.0,20.0,369.0,4289.0,453.0,106.0,19.0,0.0,20.0,186.0,54.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,24.0,0.0,0.0,96.0,214.0,21.4,160.0,11.0,0.0,8.0,11.0,31.0,3.1,23.0,2.0,0.0,0.0,2.0,1.0,176.0,98.0,77.0,71.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,29.0,0.0,98.0,89.0,320.0,2.0,6027.0,633.0,1941.0,2621.0,1534.0,226.0,6025.0,0.0,0.0,0.0,0.0,0.0,3317.0,0.0,0.0,171.0,147.0,42.0,0.0,3700.0,0.0,143.0,90.0,0.0,124.0,99.0,24.0,1.0,1.0,0.0,445.0,151.0,179.0,45.8
Brentford,21.0,42.8,10.0,110.0,900.0,14.0,8.0,2.0,3.0,21.0,0.0,1.4,0.8,2.2,1.2,2.0,13.9,11.6,0.0,1.39,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,38.4,0.0,3.8,0.12,0.32,0.12,+0.1,+0.4,2927.0,3893.0,75.2,54510.0,21158.0,1224.0,1417.0,86.4,1276.0,1526.0,83.6,349.0,743.0,47.0,0.0,73.0,198.0,57.0,19.0,248.0,3442.0,435.0,97.0,10.0,0.0,11.0,170.0,53.0,24.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,16.0,0.0,0.0,50.0,167.0,16.7,118.0,23.0,0.0,9.0,6.0,22.0,2.2,14.0,4.0,0.0,1.0,1.0,0.0,159.0,90.0,62.0,69.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,45.0,0.0,81.0,74.0,299.0,4.0,5106.0,723.0,1991.0,2094.0,1077.0,210.0,5103.0,0.0,0.0,0.0,0.0,0.0,2346.0,0.0,0.0,131.0,81.0,41.0,0.0,2890.0,0.0,147.0,75.0,0.0,116.0,84.0,16.0,2.0,2.0,2.0,388.0,188.0,180.0,51.1
Brighton,24.0,48.0,10.0,110.0,900.0,17.0,11.0,2.0,3.0,24.0,0.0,1.7,1.1,2.8,1.5,2.6,16.2,14.0,0.0,1.62,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,35.8,0.0,4.4,0.12,0.34,0.11,+0.8,+1.0,3730.0,4584.0,81.4,65709.0,22844.0,1675.0,1849.0,90.6,1637.0,1852.0,88.4,332.0,634.0,52.4,0.0,91.0,301.0,62.0,22.0,343.0,4125.0,436.0,109.0,10.0,0.0,32.0,144.0,48.0,32.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,23.0,0.0,0.0,78.0,213.0,21.3,150.0,16.0,0.0,12.0,11.0,28.0,2.8,18.0,1.0,0.0,4.0,2.0,0.0,201.0,127.0,86.0,78.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,22.0,0.0,83.0,74.0,251.0,4.0,5780.0,708.0,2050.0,2522.0,1271.0,224.0,5777.0,0.0,0.0,0.0,0.0,0.0,3344.0,0.0,0.0,187.0,101.0,59.0,0.0,3694.0,0.0,169.0,103.0,0.0,124.0,105.0,23.0,1.0,1.0,2.0,422.0,126.0,142.0,47.0
Burnley,22.0,37.0,10.0,110.0,900.0,12.0,11.0,0.0,0.0,16.0,1.0,1.2,1.1,2.3,1.2,2.3,7.1,7.1,0.0,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,37.8,0.0,2.8,0.16,0.43,0.1,+4.9,+4.9,2722.0,3666.0,74.2,48049.0,18119.0,1321.0,1500.0,88.1,1034.0,1257.0,82.3,282.0,652.0,43.3,0.0,54.0,212.0,45.0,15.0,223.0,3221.0,427.0,101.0,12.0,0.0,42.0,111.0,26.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,18.0,0.0,0.0,93.0,126.0,12.6,89.0,14.0,0.0,8.0,9.0,21.0,2.1,16.0,1.0,0.0,3.0,0.0,0.0,169.0,92.0,82.0,67.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,47.0,0.0,84.0,102.0,347.0,7.0,4897.0,744.0,1876.0,2055.0,1003.0,136.0,4897.0,0.0,0.0,0.0,0.0,0.0,2413.0,0.0,0.0,85.0,69.0,20.0,0.0,2711.0,0.0,138.0,76.0,1.0,96.0,90.0,18.0,0.0,3.0,3.0,321.0,154.0,185.0,45.4
Chelsea,25.0,58.9,10.0,110.0,900.0,18.0,13.0,1.0,1.0,22.0,3.0,1.8,1.3,3.1,1.7,3.0,17.1,16.3,0.0,1.71,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,38.0,0.0,5.2,0.12,0.33,0.12,+0.9,+0.7,4797.0,5677.0,84.5,82035.0,25427.0,2257.0,2455.0,91.9,2098.0,2315.0,90.6,353.0,685.0,51.5,0.0,103.0,375.0,79.0,13.0,417.0,5185.0,471.0,135.0,20.0,0.0,21.0,174.0,61.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,21.0,0.0,0.0,69.0,241.0,24.1,182.0,15.0,0.0,18.0,8.0,33.0,3.3,23.0,4.0,0.0,3.0,1.0,1.0,167.0,101.0,73.0,67.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,28.0,0.0,61.0,110.0,200.0,10.0,6765.0,665.0,2060.0,3198.0,1569.0,242.0,6764.0,0.0,0.0,0.0,0.0,0.0,4111.0,0.0,0.0,201.0,116.0,52.0,0.0,4752.0,0.0,154.0,98.0,1.0,115.0,123.0,21.0,0.0,0.0,0.0,389.0,137.0,117.0,53.9
Crystal Palace,22.0,41.9,10.0,110.0,900.0,13.0,6.0,2.0,2.0,18.0,0.0,1.3,0.6,1.9,1.1,1.7,18.2,16.7,0.0,1.82,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,35.0,0.0,4.3,0.09,0.26,0.14,-5.2,-5.7,2958.0,3930.0,75.3,54521.0,20966.0,1235.0,1426.0,86.6,1345.0,1572.0,85.6,322.0,727.0,44.3,0.0,77.0,214.0,67.0,17.0,306.0,3475.0,441.0,115.0,27.0,0.0,22.0,146.0,38.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,14.0,0.0,0.0,76.0,211.0,21.1,141.0,26.0,0.0,21.0,9.0,24.0,2.4,16.0,2.0,0.0,3.0,2.0,1.0,201.0,123.0,111.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,26.0,0.0,79.0,93.0,350.0,8.0,5143.0,683.0,1976.0,2161.0,1068.0,225.0,5141.0,0.0,0.0,0.0,0.0,0.0,2545.0,0.0,0.0,118.0,88.0,25.0,0.0,2945.0,0.0,129.0,81.0,0.0,104.0,101.0,14.0,2.0,1.0,0.0,373.0,184.0,192.0,48.9
Everton,19.0,45.1,9.0,99.0,810.0,9.0,7.0,1.0,1.0,22.0,0.0,1.0,0.78,1.78,0.89,1.67,12.5,11.7,0.0,1.39,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,27.3,0.0,3.0,0.08,0.3,0.12,-3.5,-3.7,2954.0,3839.0,76.9,54944.0,19822.0,1260.0,1440.0,87.5,1337.0,1577.0,84.8,312.0,641.0,48.7,0.0,77.0,238.0,72.0,19.0,302.0,3397.0,433.0,123.0,23.0,0.0,25.0,162.0,37.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,9.0,0.0,0.0,72.0,185.0,20.56,135.0,16.0,0.0,9.0,11.0,17.0,1.89,15.0,0.0,0.0,1.0,1.0,0.0,155.0,97.0,76.0,57.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,46.0,0.0,61.0,70.0,266.0,11.0,4927.0,554.0,1605.0,2032.0,1339.0,217.0,4926.0,0.0,0.0,0.0,0.0,0.0,2778.0,0.0,0.0,142.0,112.0,46.0,0.0,2931.0,0.0,151.0,86.0,0.0,95.0,107.0,9.0,1.0,2.0,0.0,354.0,191.0,159.0,54.6
Fulham,22.0,50.4,10.0,110.0,900.0,9.0,6.0,0.0,0.0,19.0,0.0,0.9,0.6,1.5,0.9,1.5,10.3,10.3,0.0,1.03,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,26.5,0.0,3.0,0.08,0.3,0.1,-1.3,-1.3,3890.0,4837.0,80.4,68813.0,23917.0,1700.0,1904.0,89.3,1748.0,1989.0,87.9,364.0,708.0,51.4,0.0,85.0,300.0,81.0,19.0,355.0,4327.0,492.0,127.0,15.0,0.0,40.0,196.0,51.0,32.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,18.0,0.0,0.0,97.0,194.0,19.4,144.0,17.0,0.0,17.0,5.0,13.0,1.3,8.0,1.0,0.0,4.0,0.0,0.0,169.0,95.0,95.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,30.0,0.0,64.0,64.0,263.0,9.0,5957.0,753.0,2215.0,2441.0,1356.0,228.0,5957.0,0.0,0.0,0.0,0.0,0.0,3507.0,0.0,0.0,197.0,125.0,45.0,0.0,3863.0,0.0,168.0,74.0,0.0,140.0,109.0,18.0,0.0,3.0,1.0,376.0,117.0,153.0,43.3
