,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against_per90,gk_shots_on_target_against_per90,gk_saves_per90,gk_save_pct_per90,gk_wins_per90,gk_ties_per90,gk_losses_per90,gk_clean_sheets_per90,gk_clean_sheets_pct_per90,gk_pens_att_per90,gk_pens_allowed_per90,gk_pens_saved_per90,gk_pens_missed_per90,gk_pens_save_pct_per90,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,gk_own_goals_against_per90,gk_psxg_per90,gk_psnpxg_per_shot_on_target_against_per90,gk_psxg_net_per90,gk_passes_completed_launched_per90,gk_passes_launched_per90,gk_passes_pct_launched_per90,gk_passes_per90,gk_passes_throws_per90,gk_pct_passes_launched_per90,gk_passes_length_avg_per90,gk_goal_kicks_per90,gk_pct_goal_kicks_launched_per90,gk_goal_kick_length_avg_per90,gk_crosses_per90,gk_crosses_stopped_per90,gk_crosses_stopped_pct_per90,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions_per90,team_score
0,Alisson,br BRA,GK,Liverpool,30,1992,28.0,28.0,"2,520",28.0,1.07,3.892857142857143,2.857142857142857,2.6214285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.0214285714285716,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.03571428571428571,1.025,0.009285714285714286,-0.01,2.142857142857143,6.535714285714286,1.1714285714285713,36.464285714285715,5.0,0.5035714285714286,0.8821428571428571,4.142857142857143,1.2,1.1892857142857143,10.678571428571429,0.4642857142857143,0.15357142857142855,1.18,0.6321428571428571,205.0
1,Alphonse Areola,fr FRA,GK,West Ham,30,1993,31.0,31.0,"2,699",30.0,1.77,6.266666666666667,4.533333333333333,2.4833333333333334,0.36666666666666664,0.3,0.36666666666666664,0.13333333333333333,0.43,0.23333333333333334,0.16666666666666666,0.06666666666666667,0.0,0.9533333333333334,0.0,0.1,0.1,1.7366666666666668,0.008,0.07,5.333333333333333,14.333333333333334,1.24,21.433333333333334,4.8,1.4633333333333334,1.2266666666666666,7.3,2.253333333333333,1.5766666666666667,15.6,0.9,0.19333333333333333,0.23,0.2966666666666667,71.5
2,Daniel Bentley,eng ENG,GK,Wolves,30,1993,5.0,3.0,383.0,4.3,1.64,3.488372093023256,1.8604651162790697,12.395348837209303,0.23255813953488372,0.0,0.46511627906976744,0.23255813953488372,7.7441860465116275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3488372093023255,0.09069767441860466,-0.28,3.0232558139534884,13.023255813953488,5.395348837209302,25.813953488372093,2.0930232558139537,8.372093023255815,7.8604651162790695,7.674418604651163,11.279069767441861,8.581395348837209,11.627906976744187,0.0,0.0,0.7,3.0930232558139537,37.953
3,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,23.0,22.0,"1,985",22.1,1.9,5.88235294117647,3.936651583710407,3.203619909502262,0.4072398190045249,0.18099547511312217,0.4072398190045249,0.2262443438914027,1.0271493212669682,0.2262443438914027,0.18099547511312217,0.04524886877828054,0.0,0.9049773755656108,0.0,0.2262443438914027,0.0,1.909502262443439,0.013122171945701356,0.01,2.5339366515837103,7.466063348416289,1.5339366515837103,21.719457013574658,6.470588235294117,0.7058823529411764,1.1493212669683257,7.647058823529411,2.411764705882353,1.7692307692307692,13.39366515837104,0.9049773755656108,0.30769230769230765,1.0,0.5837104072398189,37.953
4,Ederson,br BRA,GK,Manchester City,29,1993,33.0,33.0,"2,785",30.9,0.87,2.6537216828478964,1.8122977346278317,2.2880258899676376,0.7766990291262136,0.1941747572815534,0.0970873786407767,0.3236245954692557,0.9805825242718448,0.0970873786407767,0.0970873786407767,0.0,0.0,0.0,0.0,0.06472491909385114,0.03236245954692557,0.8802588996763754,0.00970873786407767,0.04,3.6893203883495147,7.961165048543689,1.4983818770226538,36.24595469255664,4.433656957928803,0.5922330097087379,0.8802588996763754,3.6893203883495147,1.1650485436893205,1.174757281553398,7.993527508090615,0.8090614886731392,0.3268608414239482,1.62,0.5598705501618123,254.0
5,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,10.0,7.0,721.0,8.0,2.62,6.625,4.125,8.25,0.375,0.125,0.375,0.125,1.7875,0.375,0.375,0.0,0.0,0.0,0.0,0.375,0.125,2.475,0.04125,-0.02,6.25,15.375,5.0875,22.75,5.5,6.25,4.875,7.0,7.1375,5.6375,14.25,1.0,0.875,0.12,0.95,71.5
6,Mark Flekken,nl NED,GK,Brentford,30,1993,37.0,37.0,"3,285",36.5,1.73,4.821917808219178,3.095890410958904,1.7890410958904108,0.273972602739726,0.2465753424657534,0.4931506849315068,0.1917808219178082,0.5178082191780822,0.0547945205479452,0.0547945205479452,0.0,0.0,0.0,0.0,0.1643835616438356,0.0,1.5178082191780822,0.008493150684931507,-0.21,6.63013698630137,17.726027397260275,1.0246575342465754,35.28767123287671,3.589041095890411,1.0027397260273974,0.9452054794520548,7.917808219178082,1.6684931506849314,1.2794520547945207,15.561643835616438,1.2054794520547945,0.21095890410958903,1.01,0.34520547945205476,0.0
7,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,30.0,29.0,"2,649",29.4,2.68,6.938775510204082,4.421768707482993,2.166666666666667,0.10204081632653061,0.1360544217687075,0.7482993197278912,0.034013605442176874,0.11564625850340136,0.20408163265306123,0.17006802721088435,0.0,0.034013605442176874,0.0,0.0,0.272108843537415,0.17006802721088435,2.394557823129252,0.011224489795918368,-0.12,6.9727891156462585,21.02040816326531,1.1292517006802723,26.63265306122449,3.435374149659864,1.8537414965986396,1.3673469387755104,8.91156462585034,2.479591836734694,1.772108843537415,15.918367346938776,0.9523809523809524,0.20408163265306123,1.43,0.5,0.0
8,Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,9.0,9.0,771.0,8.6,2.92,6.86046511627907,4.186046511627907,6.6976744186046515,0.0,0.3488372093023256,0.6976744186046512,0.0,0.0,0.11627906976744186,0.0,0.0,0.11627906976744186,0.0,0.0,0.46511627906976744,0.23255813953488372,1.7093023255813953,0.029069767441860465,-0.97,7.558139534883721,23.13953488372093,3.8023255813953494,24.069767441860467,2.906976744186047,6.686046511627907,4.790697674418605,10.348837209302326,10.453488372093025,6.906976744186046,22.44186046511628,1.2790697674418605,0.6627906976744187,1.63,1.6744186046511629,0.0
9,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,18.0,"1,620",18.0,1.67,4.777777777777778,3.1666666666666665,3.683333333333333,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.2222222222222222,1.2333333333333334,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,1.5222222222222221,0.017222222222222222,-0.09,3.2777777777777777,13.61111111111111,1.338888888888889,20.944444444444443,2.888888888888889,2.5944444444444446,2.1444444444444444,5.833333333333333,3.6500000000000004,2.611111111111111,13.666666666666666,0.2777777777777778,0.1111111111111111,0.94,0.7666666666666667,0.0
10,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,20.0,"1,796",20.0,1.35,3.35,2.05,3.1350000000000002,0.25,0.3,0.45,0.3,1.5,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.05,1.0,0.013500000000000002,-0.3,5.85,17.75,1.65,22.65,3.15,2.75,2.06,7.05,3.7600000000000002,2.6399999999999997,16.95,1.2,0.355,0.6,0.5599999999999999,0.0
11,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,38.0,38.0,"3,405",37.8,2.25,5.846560846560847,3.703703703703704,1.6746031746031746,0.15873015873015875,0.21164021164021166,0.634920634920635,0.052910052910052914,0.1402116402116402,0.10582010582010583,0.10582010582010583,0.0,0.0,0.0,0.0,0.34391534391534395,0.10582010582010583,2.052910052910053,0.008994708994708996,-0.09,7.16931216931217,21.375661375661377,0.8862433862433863,29.65608465608466,3.9682539682539684,1.3756613756613758,1.044973544973545,9.021164021164022,1.7460317460317463,1.2566137566137567,14.761904761904763,0.4232804232804233,0.07671957671957673,2.01,0.5423280423280423,1.983
12,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1.0,1.0,90.0,1.0,4.0,7.0,4.0,42.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.29,-0.99,3.0,18.0,16.7,27.0,5.0,48.1,36.3,9.0,55.6,41.8,10.0,1.0,10.0,3.0,19.5,37.953
13,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,10.0,900.0,10.0,1.1,3.8,2.8,7.109999999999999,0.8,0.2,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,1.1300000000000001,0.03,0.13,3.2,10.2,3.1399999999999997,41.1,5.2,2.2399999999999998,2.73,2.8,3.5700000000000003,3.4899999999999998,7.7,0.5,0.65,1.3,1.7,205.0
14,Bernd Leno,de GER,GK,Fulham,31,1992,38.0,38.0,"3,420",38.0,1.61,5.0,3.5,1.8973684210526314,0.34210526315789475,0.21052631578947367,0.4473684210526316,0.2631578947368421,0.6921052631578948,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.07894736842105263,0.10526315789473684,1.4657894736842105,0.006842105263157895,-0.03,3.789473684210526,11.552631578947368,0.863157894736842,36.10526315789474,4.394736842105263,0.6236842105263157,0.75,5.2894736842105265,1.4921052631578948,1.1763157894736842,12.421052631578947,0.5,0.10526315789473684,1.05,0.3736842105263158,0.0
15,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,34.0,34.0,"3,015",33.5,1.43,4.149253731343284,2.8358208955223883,1.9761194029850746,0.5671641791044776,0.23880597014925373,0.208955223880597,0.23880597014925373,0.7014925373134329,0.029850746268656716,0.029850746268656716,0.0,0.0,0.0,0.0,0.29850746268656714,0.11940298507462686,1.51044776119403,0.011044776119402985,0.2,3.611940298507463,9.91044776119403,1.0865671641791044,37.91044776119403,4.686567164179104,0.6268656716417911,0.826865671641791,4.746268656716418,1.2208955223880598,1.0776119402985076,11.134328358208956,1.3432835820895523,0.3611940298507463,2.06,0.5223880597014925,37.953
16,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,1.0,0.0,4.0,0.0,22.5,,,,,,,,,,,,,,,,,,,-19.2,,,,,,,,,,,,,,0.0,,0.0
17,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10.0,10.0,900.0,10.0,1.6,7.8,6.2,8.08,0.2,0.4,0.4,0.0,0.0,0.2,0.1,0.1,0.0,5.0,0.0,0.1,0.1,2.17,0.026000000000000002,0.67,7.7,21.9,3.5200000000000005,54.7,5.4,3.6399999999999997,3.4299999999999997,3.3,6.0600000000000005,4.51,14.3,2.0,1.4,3.1,1.72,37.953
18,Neto,br BRA,GK,Bournemouth,34,1989,32.0,32.0,"2,880",32.0,1.72,5.15625,3.4375,2.178125,0.3125,0.28125,0.40625,0.21875,0.684375,0.1875,0.15625,0.03125,0.0,0.521875,0.03125,0.09375,0.03125,1.725,0.0096875,0.04,5.375,15.4375,1.0875,26.03125,4.8125,1.378125,1.153125,6.96875,1.78125,1.38125,12.90625,0.8125,0.196875,1.06,0.428125,0.0
19,Robin Olsen,se SWE,GK,Aston Villa,33,1990,5.0,4.0,405.0,4.5,2.89,7.555555555555555,4.444444444444445,13.733333333333333,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,22.22222222222222,0.2222222222222222,0.0,0.0,2.466666666666667,0.06666666666666667,-0.43,3.3333333333333335,10.666666666666666,6.955555555555556,39.111111111111114,4.222222222222222,4.555555555555555,6.022222222222222,6.0,9.866666666666667,7.977777777777778,10.222222222222221,1.3333333333333333,2.888888888888889,0.22,1.8666666666666667,37.953
20,André Onana,cm CMR,GK,Manchester Utd,27,1996,38.0,38.0,"3,420",38.0,1.53,5.342105263157895,3.8421052631578947,1.9710526315789476,0.47368421052631576,0.15789473684210525,0.3684210526315789,0.23684210526315788,0.6236842105263157,0.18421052631578946,0.18421052631578946,0.0,0.0,0.0,0.02631578947368421,0.2894736842105263,0.02631578947368421,1.5710526315789475,0.007105263157894737,0.07,3.9210526315789473,13.5,0.7631578947368421,35.55263157894737,3.6842105263157894,0.8157894736842105,0.8210526315789474,4.2631578947368425,1.5263157894736843,1.1736842105263159,15.81578947368421,1.105263157894737,0.18421052631578946,0.97,0.3394736842105263,170.0
21,Stefan Ortega,de GER,GK,Manchester City,30,1992,9.0,5.0,635.0,7.1,0.99,3.802816901408451,2.8169014084507045,10.436619718309858,0.5633802816901409,0.14084507042253522,0.0,0.4225352112676057,8.450704225352114,0.0,0.0,0.0,0.0,0.0,0.0,0.14084507042253522,0.0,1.267605633802817,0.04647887323943663,0.28,3.943661971830986,9.577464788732394,5.802816901408451,34.7887323943662,3.3802816901408455,3.47887323943662,3.9295774647887325,2.676056338028169,5.183098591549296,4.845070422535211,9.15492957746479,0.8450704225352114,1.295774647887324,1.84,2.366197183098592,254.0
22,Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,23.0,22.0,"1,987",22.1,1.72,4.886877828054298,3.3031674208144794,2.9728506787330318,0.588235294117647,0.2262443438914027,0.18099547511312217,0.2262443438914027,1.0271493212669682,0.09049773755656108,0.04524886877828054,0.0,0.04524886877828054,0.0,0.0,0.2262443438914027,0.13574660633484162,1.2805429864253393,0.011764705882352941,-0.3,3.0316742081447963,9.683257918552036,1.4162895927601808,29.638009049773753,4.389140271493212,1.0,1.257918552036199,6.7420814479638,2.095022624434389,1.7104072398190042,14.117647058823529,0.9049773755656108,0.28959276018099545,0.91,0.5746606334841629,183.0
23,Jordan Pickford,eng ENG,GK,Everton,29,1994,38.0,38.0,"3,420",38.0,1.34,4.342105263157895,3.0789473684210527,1.9447368421052633,0.34210526315789475,0.23684210526315788,0.42105263157894735,0.34210526315789475,0.9,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0,0.0,0.23684210526315788,0.07894736842105263,1.3789473684210527,0.00736842105263158,0.12,9.473684210526315,23.710526315789473,1.0526315789473684,34.13157894736842,3.710526315789474,1.4921052631578948,1.0947368421052632,7.184210526315789,1.5999999999999999,1.2710526315789472,15.0,0.7894736842105263,0.1394736842105263,1.42,0.41842105263157897,37.953
24,Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,15.0,15.0,"1,345",14.9,1.07,3.8926174496644292,2.8187919463087248,4.859060402684564,0.6040268456375839,0.1342281879194631,0.2684563758389262,0.33557046979865773,2.23489932885906,0.0,0.0,0.0,0.0,0.0,0.06711409395973154,0.1342281879194631,0.0,1.1275167785234899,0.020134228187919462,0.06,2.751677852348993,7.919463087248322,2.3288590604026846,20.40268456375839,5.906040268456375,1.4161073825503356,1.9194630872483223,6.375838926174496,3.8120805369127515,2.939597315436241,9.59731543624161,0.6040268456375839,0.4228187919463087,1.87,1.2751677852348993,37.953
25,Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2.0,2.0,180.0,2.0,3.5,5.5,2.0,18.2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.45,0.135,-2.04,2.5,7.5,16.65,28.5,5.0,9.65,13.45,5.5,18.2,14.6,9.5,1.0,5.25,0.0,4.8,0.0
26,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6.0,6.0,540.0,6.0,0.83,2.3333333333333335,1.5,10.716666666666667,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.6166666666666667,0.043333333333333335,-0.22,3.1666666666666665,11.5,4.583333333333333,28.166666666666668,5.0,5.816666666666666,5.55,3.1666666666666665,8.766666666666667,6.8999999999999995,7.666666666666667,1.3333333333333333,2.9,1.5,2.433333333333333,173.0
27,David Raya,es ESP,GK,Arsenal,27,1995,32.0,32.0,"2,880",32.0,0.75,2.15625,1.40625,2.128125,0.71875,0.125,0.15625,0.5,1.5625,0.09375,0.0625,0.03125,0.0,1.040625,0.03125,0.15625,0.03125,0.6375,0.008125,-0.08,4.3125,11.625,1.159375,30.28125,4.96875,1.00625,0.959375,3.0,1.953125,1.484375,10.28125,1.25,0.38125,1.56,0.559375,173.0
28,José Sá,pt POR,GK,Wolves,30,1993,35.0,35.0,"3,037",33.7,1.72,5.578635014836795,3.887240356083086,2.178041543026706,0.35608308605341243,0.20771513353115725,0.4747774480712166,0.11869436201780414,0.3382789317507418,0.2373887240356083,0.2373887240356083,0.0,0.0,0.0,0.029673590504451036,0.20771513353115725,0.029673590504451036,1.9554896142433233,0.009198813056379821,0.26,2.58160237388724,12.58160237388724,0.6083086053412462,24.955489614243323,5.637982195845697,0.9881305637982194,0.9792284866468842,7.507418397626112,1.6884272997032639,1.2640949554896141,15.489614243323441,1.3353115727002967,0.2551928783382789,0.83,0.37388724035608306,37.953
29,Robert Sánchez,es ESP,GK,Chelsea,25,1997,16.0,16.0,"1,433",15.9,1.57,4.90566037735849,3.2704402515723268,4.433962264150943,0.31446540880503143,0.25157232704402516,0.44025157232704404,0.18867924528301885,1.1823899371069182,0.18867924528301885,0.12578616352201258,0.06289308176100629,0.0,2.094339622641509,0.0,0.18867924528301885,0.0,1.522012578616352,0.01761006289308176,-0.05,3.8364779874213837,9.245283018867925,2.610062893081761,32.45283018867924,5.471698113207547,1.3396226415094339,1.7672955974842768,5.723270440251572,2.559748427672956,2.119496855345912,12.70440251572327,1.1949685534591195,0.5911949685534591,1.7,0.9937106918238994,183.0
30,Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,16.0,16.0,"1,440",16.0,1.69,3.8125,2.25,3.5875,0.25,0.25,0.5,0.0625,0.39375,0.0625,0.0625,0.0,0.0,0.0,0.0,0.5625,0.125,1.06875,0.016875,-0.5,4.6875,11.1875,2.61875,17.6875,3.1875,2.86875,2.2875,5.8125,3.29375,2.5875,13.875,0.6875,0.3125,0.25,0.5875,0.0
31,James Shea,eng ENG,GK,Luton Town,32,1991,1.0,0.0,15.0,0.2,0.0,10.0,10.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.75,15.0,30.0,250.0,30.0,5.0,416.49999999999994,253.99999999999997,15.0,166.49999999999997,186.49999999999997,15.0,0.0,0.0,6.0,95.0,1.983
32,Jason Steele,eng ENG,GK,Brighton,32,1990,17.0,17.0,"1,530",17.0,2.0,4.352941176470588,2.4705882352941178,3.4176470588235297,0.29411764705882354,0.23529411764705882,0.47058823529411764,0.11764705882352941,0.6941176470588236,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.058823529411764705,0.29411764705882354,0.11764705882352941,1.511764705882353,0.018823529411764708,-0.37,2.764705882352941,7.764705882352941,2.0941176470588236,36.294117647058826,4.0588235294117645,1.1823529411764706,1.5647058823529412,3.176470588235294,0.8705882352941177,1.1058823529411765,10.176470588235293,0.4117647058823529,0.23529411764705882,2.41,1.211764705882353,37.953
33,Thomas Strakosha,al ALB,GK,Brentford,28,1995,2.0,1.0,135.0,1.5,1.33,5.333333333333333,4.0,50.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13333333333333333,-0.3,8.0,20.0,26.666666666666668,37.333333333333336,3.3333333333333335,27.400000000000002,23.866666666666664,10.0,31.133333333333336,26.599999999999998,24.666666666666668,1.3333333333333333,3.6,0.67,6.666666666666667,0.0
34,James Trafford,eng ENG,GK,Burnley,20,2002,28.0,28.0,"2,520",28.0,2.21,5.928571428571429,3.7857142857142856,2.3464285714285715,0.10714285714285714,0.17857142857142858,0.7142857142857143,0.07142857142857142,0.25357142857142856,0.17857142857142858,0.17857142857142858,0.0,0.0,0.0,0.0,0.35714285714285715,0.07142857142857142,1.9321428571428572,0.010714285714285714,-0.21,4.928571428571429,21.642857142857142,0.8142857142857143,47.57142857142857,5.785714285714286,1.2107142857142856,1.1178571428571429,7.071428571428571,2.7964285714285713,1.9357142857142857,14.964285714285714,1.0714285714285714,0.2571428571428572,1.54,0.5357142857142857,37.953
35,Mark Travers,ie IRL,GK,Bournemouth,24,1999,4.0,4.0,360.0,4.0,1.25,4.5,3.25,19.45,0.5,0.0,0.5,0.5,12.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0575,0.01,5.5,18.0,7.65,23.0,3.25,13.85,10.425,6.5,20.2,13.9,15.0,0.75,1.25,0.75,3.7,0.0
36,Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17.0,17.0,"1,530",17.0,1.65,4.705882352941177,3.0588235294117645,3.9705882352941178,0.23529411764705882,0.29411764705882354,0.47058823529411764,0.11764705882352941,0.6941176470588236,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,1.3,0.015294117647058824,-0.35,7.411764705882353,16.470588235294116,2.6470588235294117,25.647058823529413,5.823529411764706,2.511764705882353,2.1,8.0,4.064705882352941,2.764705882352941,17.41176470588235,1.7647058823529411,0.5941176470588235,1.06,0.7823529411764706,0.0
