ranker,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,team_score
0.0,Alisson,br BRA,GK,Liverpool,31,1992,28.0,28.0,"2,508",27.9,29.0,1.04,100.0,73.0,72.0,18.0,7.0,3.0,9.0,32.1,1.0,1.0,0.0,0.0,0.0,Matches,0.0,2.0,2.0,30.5,0.3,3.5,0.13,68.0,203.0,33.5,877.0,128.0,19.7,26.6,80.0,37.5,33.4,255.0,11.0,4.3,49.0,1.76,16.0,224.5
0.0,Alphonse Areola,fr FRA,GK,West Ham,31,1993,26.0,25.0,"2,260",25.1,41.0,1.63,115.0,77.0,64.3,5.0,7.0,13.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,5.0,3.0,35.4,0.31,-2.6,-0.1,135.0,384.0,35.2,788.0,119.0,34.4,32.1,196.0,57.7,42.9,394.0,15.0,3.8,30.0,1.19,15.0,71.5
0.0,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31.0,31.0,"2,790",31.0,39.0,1.26,134.0,95.0,73.9,13.0,7.0,11.0,8.0,25.8,4.0,4.0,0.0,0.0,0.0,Matches,0.0,4.0,0.0,41.0,0.28,2.0,0.07,132.0,365.0,36.2,831.0,122.0,33.2,32.9,192.0,46.4,38.7,367.0,22.0,6.0,54.0,1.74,16.0,0.0
0.0,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.2,0.55,0.2,0.2,3.0,11.0,27.3,26.0,5.0,38.5,32.3,6.0,16.7,29.0,15.0,5.0,33.3,2.0,2.0,12.4,155.25
0.0,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4.0,4.0,360.0,4.0,10.0,2.5,17.0,8.0,41.2,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,1.0,10.1,0.59,1.1,0.27,13.0,62.0,21.0,128.0,12.0,34.4,34.1,24.0,75.0,53.8,56.0,4.0,7.1,7.0,1.75,12.0,202.5
0.0,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2.0,2.0,180.0,2.0,4.0,2.0,12.0,8.0,66.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,3.9,0.33,-0.1,-0.04,7.0,21.0,33.3,52.0,6.0,25.0,28.1,13.0,61.5,46.4,25.0,0.0,0.0,3.0,1.5,16.4,41.131
0.0,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10.0,10.0,900.0,10.0,12.0,1.2,41.0,29.0,70.7,7.0,0.0,3.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,12.9,0.32,0.9,0.09,18.0,80.0,22.5,273.0,54.0,15.8,25.2,59.0,62.7,45.4,127.0,10.0,7.9,11.0,1.1,15.3,41.131
0.0,Ederson,br BRA,GK,Manchester City,30,1993,26.0,26.0,"2,320",25.8,26.0,1.01,78.0,53.0,69.2,16.0,4.0,6.0,10.0,38.5,2.0,2.0,0.0,0.0,0.0,Matches,0.0,3.0,1.0,30.0,0.37,5.0,0.19,72.0,165.0,43.6,846.0,108.0,17.4,27.9,77.0,23.4,31.9,224.0,13.0,5.8,49.0,1.9,17.5,253.75
0.0,Łukasz Fabiański,pl POL,GK,West Ham,39,1985,14.0,13.0,"1,160",12.9,21.0,1.63,71.0,50.0,74.6,6.0,3.0,4.0,2.0,15.4,3.0,3.0,0.0,0.0,0.0,Matches,1.0,3.0,0.0,22.6,0.29,1.6,0.12,77.0,226.0,34.1,394.0,55.0,41.9,35.5,100.0,61.0,45.1,220.0,10.0,4.5,12.0,0.93,13.1,71.5
0.0,Mark Flekken,nl NED,GK,Brentford,31,1993,37.0,37.0,"3,275",36.4,55.0,1.51,203.0,150.0,73.4,16.0,8.0,13.0,7.0,18.9,1.0,1.0,0.0,0.0,0.0,Matches,0.0,2.0,2.0,52.7,0.26,-0.3,-0.01,249.0,659.0,37.8,1498.0,122.0,33.7,34.4,212.0,72.6,54.8,581.0,46.0,7.9,34.0,0.93,11.5,0.0
