,player,nationality,team,age,birth_year,games,games_starts,minutes,minutes_90s,pens_made_per90,pens_att_per90,cards_yellow_per90,cards_red_per90,progressive_carries_per90,progressive_passes_per90,progressive_passes_received_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,shots_on_target_pct_per90,shots_per90,shots_on_target_per90,goals_per_shot_per90,goals_per_shot_on_target_per90,average_shot_distance_per90,shots_free_kicks_per90,npxg_per_shot_per90,xg_net_per90,npxg_net_per90,passes_completed_per90,passes_per90,passes_pct_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,sca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,take_ons_won_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,team_score,position_fw,position_mf,position_df
0,Brenden Aaronson,us USA,Leeds United,21,2000,36.0,28.0,"2,372",26.4,0.0,0.0,0.07575757575757576,0.0,1.628787878787879,3.257575757575758,5.71969696969697,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31,Matches,0.8333333333333334,1.56,0.34,0.0007575757575757577,0.004166666666666667,0.6969696969696969,0.07575757575757576,0.0034090909090909094,-0.10984848484848485,-0.10984848484848485,22.424242424242426,30.18939393939394,2.8143939393939394,287.00757575757575,82.65151515151516,13.106060606060607,16.022727272727273,3.0984848484848486,5.6818181818181825,7.386363636363637,2.912878787878788,0.946969696969697,2.4621212121212124,1.4583333333333335,0.0984848484848485,-0.045454545454545456,1.7424242424242424,1.7803030303030305,0.6060606060606061,0.15151515151515152,26.931818181818183,3.2196969696969697,0.9848484848484849,0.30303030303030304,0.07575757575757576,2.7272727272727275,0.1893939393939394,1.4393939393939394,0.6439393939393939,0.5303030303030303,0.03787878787878788,0.03787878787878788,1.0227272727272727,3.6,2.159090909090909,0.6439393939393939,0.26515151515151514,0.1893939393939394,0.30303030303030304,0.03787878787878788,0.27,0.11363636363636365,0.03787878787878788,0.0,0.03787878787878788,0.03787878787878788,0.03787878787878788,1.7045454545454546,0.6818181818181819,0.6060606060606061,0.8333333333333334,0.26515151515151514,0.5681818181818182,1.7424242424242424,1.2348484848484849,1.1742424242424243,1.628787878787879,0.11363636363636365,1.5151515151515151,0.1893939393939394,1.893939393939394,0.2272727272727273,0.03787878787878788,43.29545454545455,0.4545454545454546,4.3939393939393945,18.75,20.984848484848484,2.7272727272727275,43.29545454545455,3.787878787878788,1.2878787878787878,1.2878787878787878,1.8181818181818183,1.8181818181818183,26.022727272727273,138.29545454545456,58.03030303030303,1.2878787878787878,0.49242424242424243,2.6893939393939394,3.1060606060606064,29.053030303030305,0.0,0.6060606060606061,2.0833333333333335,0.2272727272727273,0.0,0.0,0.0,4.848484848484849,0.30303030303030304,1.4772727272727273,0.6439393939393939,11.005,1,1,0
1,George Abbott,eng ENG,Tottenham,16,2005,1.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,150.0,0,1,0
2,Che Adams,sct SCO,Southampton,26,1996,28.0,23.0,"1,992",22.1,0.0,0.0,0.04524886877828054,0.0,0.7692307692307692,1.5384615384615383,5.203619909502262,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.43,0.3,0.43,Matches,1.34841628959276,2.12,0.63,0.004977375565610859,0.016289592760180993,0.6244343891402715,0.0,0.006334841628959276,-0.07692307692307691,-0.07692307692307691,14.932126696832578,22.53393665158371,2.9999999999999996,210.4524886877828,47.14932126696832,9.27601809954751,12.57918552036199,3.3348416289592757,3.5294117647058822,5.339366515837104,2.9909502262443435,1.176470588235294,1.67420814479638,3.180995475113122,0.0995475113122172,0.009049773755656108,1.085972850678733,0.9502262443438914,0.4977375565610859,0.09049773755656108,22.171945701357465,0.3167420814479638,0.0,0.27149321266968324,0.3167420814479638,0.5429864253393665,0.18099547511312217,0.0,0.0,0.0,0.0,0.04524886877828054,0.7692307692307692,2.57,1.9909502262443437,0.04524886877828054,0.09049773755656108,0.2262443438914027,0.2262443438914027,0.0,0.32,0.2262443438914027,0.0,0.0,0.0,0.09049773755656108,0.0,0.7692307692307692,0.588235294117647,0.3167420814479638,0.36199095022624433,0.09049773755656108,0.3167420814479638,0.5429864253393665,2.638009049773755,0.2262443438914027,0.588235294117647,0.18099547511312217,0.4072398190045249,0.18099547511312217,0.9502262443438914,0.9954751131221719,0.0,32.44343891402715,1.3122171945701357,2.9864253393665154,12.941176470588234,17.058823529411764,4.660633484162895,32.44343891402715,1.5384615384615383,0.7692307692307692,2.262443438914027,0.588235294117647,1.7285067873303168,18.3710407239819,73.43891402714932,21.312217194570135,0.4977375565610859,0.4072398190045249,2.9864253393665154,1.2669683257918551,25.248868778280542,0.0,1.7194570135746605,1.2217194570135745,0.6334841628959276,0.0,0.0,0.0,2.3981900452488687,2.760180995475113,4.660633484162895,1.6832579185520362,37.835,1,0,0
3,Tyler Adams,us USA,Leeds United,23,1999,24.0,24.0,"2,156",24.0,0.0,0.0,0.25,0.041666666666666664,0.7916666666666666,5.666666666666667,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,0.0,0.17,0.0,0.0,0.0,1.1458333333333333,0.0,0.00125,-0.004166666666666667,-0.004166666666666667,46.166666666666664,55.958333333333336,3.4375,691.3333333333334,210.875,25.291666666666668,28.583333333333332,3.6875,16.25,19.166666666666668,3.533333333333333,2.625,4.458333333333333,2.4541666666666666,0.041666666666666664,-0.05833333333333333,1.0,4.583333333333333,0.5416666666666666,0.0,52.958333333333336,3.0,2.4166666666666665,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,1.0,1.79,1.75,0.0,0.0,0.0,0.041666666666666664,0.0,0.04,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,3.7083333333333335,1.9166666666666667,1.8333333333333333,1.4583333333333333,0.4166666666666667,2.0833333333333335,3.2916666666666665,2.6374999999999997,1.2083333333333333,2.0,0.3333333333333333,1.6666666666666667,1.4583333333333333,5.166666666666667,1.2083333333333333,0.0,67.83333333333333,1.8333333333333333,15.666666666666666,42.083333333333336,10.583333333333334,0.20833333333333334,67.83333333333333,0.9583333333333334,0.3333333333333333,1.45,0.5,2.1750000000000003,34.125,139.25,64.79166666666667,0.875,0.0,1.1666666666666667,0.75,38.333333333333336,0.041666666666666664,1.5416666666666667,0.875,0.041666666666666664,0.0,0.0,0.0,8.291666666666666,1.0416666666666667,0.625,2.6041666666666665,11.005,0,1,0
4,Tosin Adarabioyo,eng ENG,Fulham,24,1997,25.0,23.0,"2,085",23.2,0.0,0.0,0.1724137931034483,0.0,0.6896551724137931,4.094827586206897,0.12931034482758622,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,Matches,1.0775862068965518,0.69,0.17,0.002586206896551724,0.010775862068965518,0.9137931034482759,0.04310344827586207,0.001724137931034483,0.01293103448275862,0.01293103448275862,45.94827586206897,56.03448275862069,3.53448275862069,975.1293103448277,365.4310344827586,11.422413793103448,13.232758620689655,3.7198275862068964,28.146551724137932,31.681034482758623,3.8275862068965516,5.862068965517242,9.612068965517242,2.6293103448275863,0.021551724137931036,-0.017241379310344827,0.25862068965517243,4.137931034482759,0.3017241379310345,0.0,53.23275862068966,2.5,2.0258620689655173,0.08620689655172414,0.5172413793103449,0.08620689655172414,0.3017241379310345,0.0,0.0,0.0,0.0,0.3017241379310345,0.4310344827586207,0.78,0.646551724137931,0.0,0.0,0.12931034482758622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293103448275862,0.560344827586207,0.9482758620689655,0.25862068965517243,0.08620689655172414,0.6896551724137931,0.9913793103448276,3.0,0.3017241379310345,0.8620689655172414,0.646551724137931,0.21551724137931036,1.120689655172414,2.413793103448276,6.0344827586206895,0.04310344827586207,66.5948275862069,9.956896551724139,33.44827586206897,31.681034482758623,2.0258620689655173,0.8189655172413793,66.5948275862069,0.47413793103448276,0.3879310344827586,3.5258620689655173,0.08620689655172414,0.7844827586206896,35.94827586206897,192.67241379310346,117.80172413793103,0.5172413793103449,0.04310344827586207,0.1724137931034483,0.1724137931034483,42.025862068965516,0.0,0.7327586206896552,0.21551724137931036,0.12931034482758622,0.0,0.0,0.0,4.741379310344827,2.543103448275862,1.120689655172414,2.991379310344828,0.0,0,0,1
5,Nayef Aguerd,ma MAR,West Ham,26,1996,18.0,17.0,"1,595",17.7,0.0,0.0,0.22598870056497175,0.0,0.11299435028248588,1.4124293785310735,0.22598870056497175,0.11,0.0,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15,Matches,0.943502824858757,0.68,0.11,0.0096045197740113,0.05649717514124294,0.5593220338983051,0.0,0.01073446327683616,-0.01129943502824859,-0.01129943502824859,33.84180790960452,43.10734463276836,4.435028248587571,689.4350282485876,301.2429378531074,12.655367231638419,13.785310734463277,5.186440677966102,16.214689265536723,18.926553672316384,4.84180790960452,4.632768361581921,9.548022598870057,2.7401129943502824,0.01694915254237288,-0.02824858757062147,0.33898305084745767,2.0903954802259888,0.22598870056497175,0.0,40.847457627118644,2.0338983050847457,1.6384180790960452,0.0,1.1864406779661016,0.0,0.0,0.0,0.0,0.0,0.0,0.22598870056497175,0.2824858757062147,0.79,0.6779661016949153,0.05649717514124294,0.0,0.05649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5254237288135595,1.0169491525423728,1.0169491525423728,0.4519774011299435,0.05649717514124294,0.7344632768361582,1.1299435028248588,3.672316384180791,0.3954802259887006,1.4689265536723164,1.3559322033898307,0.11299435028248588,1.0169491525423728,2.542372881355932,4.463276836158192,0.11299435028248588,53.61581920903955,9.096045197740114,31.807909604519775,20.225988700564972,1.9774011299435028,1.2994350282485876,53.61581920903955,0.33898305084745767,0.22598870056497175,3.7683615819209044,0.0,0.0,29.54802259887006,120.16949152542374,64.23728813559322,0.05649717514124294,0.0,0.4519774011299435,0.3954802259887006,31.864406779661017,0.0,0.4519774011299435,0.4519774011299435,0.11299435028248588,0.0,0.05649717514124294,0.0,5.932203389830509,1.807909604519774,1.7514124293785311,2.870056497175141,53.5,0,0,1
6,Naouirou Ahamada,fr FRA,Crystal Palace,20,2002,8.0,0.0,94.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.22,0.15,0.22,Matches,0.0,2.87,0.0,0.0,0.0,15.9,0.0,0.05,-0.2,-0.2,37.0,46.0,80.4,550.0,179.0,19.0,23.0,82.6,15.0,17.0,88.2,1.0,3.0,33.3,0.0,-0.1,1.0,3.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,63.0,0.0,12.0,35.0,16.0,4.0,63.0,2.0,1.0,50.0,1.0,50.0,32.0,179.0,70.0,2.0,1.0,5.0,1.0,39.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1,1,0
7,Rayan Aït-Nouri,dz ALG,Wolves,21,2001,21.0,9.0,"1,076",12.0,0.0,0.0,0.3333333333333333,0.0,2.5,3.5833333333333335,6.333333333333333,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,Matches,4.166666666666667,0.84,0.42,0.008333333333333333,0.016666666666666666,1.175,0.0,0.005833333333333334,0.024999999999999998,0.024999999999999998,39.166666666666664,48.166666666666664,6.7749999999999995,589.9166666666666,196.08333333333334,22.333333333333332,25.0,7.441666666666666,14.083333333333334,17.083333333333332,6.866666666666667,1.6666666666666667,2.6666666666666665,5.208333333333333,0.075,-0.08333333333333333,0.5833333333333334,2.4166666666666665,1.1666666666666667,0.4166666666666667,40.583333333333336,7.416666666666667,0.4166666666666667,0.0,0.16666666666666666,1.75,6.75,0.25,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,1.5,1.93,1.1666666666666667,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,1.6666666666666667,2.0833333333333335,0.5833333333333334,0.08333333333333333,0.75,1.3333333333333333,4.691666666666666,0.5833333333333334,0.25,0.0,0.25,0.75,3.5,2.3333333333333335,0.0,61.666666666666664,3.3333333333333335,20.0,23.25,19.416666666666668,2.3333333333333335,61.666666666666664,4.166666666666667,2.3333333333333335,4.666666666666667,1.5,3.0,32.916666666666664,188.33333333333334,103.66666666666667,1.0833333333333333,0.8333333333333334,2.3333333333333335,1.0,37.833333333333336,0.0,1.25,0.9166666666666666,0.25,0.0,0.08333333333333333,0.08333333333333333,5.083333333333333,1.1666666666666667,1.4166666666666667,3.766666666666667,37.835,0,0,1
8,Kristoffer Ajer,no NOR,Brentford,24,1998,9.0,9.0,763.0,8.5,0.0,0.0,0.0,0.0,1.1764705882352942,3.6470588235294117,1.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,0.0,0.12,0.0,0.0,0.0,0.7058823529411765,0.0,0.004705882352941177,0.0,0.0,30.470588235294116,40.588235294117645,8.835294117647058,527.0588235294117,222.0,15.411764705882353,18.705882352941178,9.694117647058825,12.0,15.058823529411764,9.376470588235295,2.7058823529411766,4.705882352941177,6.764705882352941,0.011764705882352941,0.0,0.11764705882352941,2.3529411764705883,0.35294117647058826,0.11764705882352941,34.470588235294116,6.0,0.8235294117647058,0.0,0.47058823529411764,0.7058823529411765,5.176470588235294,0.0,0.0,0.0,0.0,0.11764705882352941,0.9411764705882353,0.47,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2941176470588236,0.9411764705882353,0.5882352941176471,0.47058823529411764,0.23529411764705882,1.0588235294117647,1.8823529411764706,6.623529411764705,0.8235294117647058,0.7058823529411765,0.5882352941176471,0.11764705882352941,0.8235294117647058,2.1176470588235294,2.588235294117647,0.0,48.470588235294116,5.294117647058823,21.647058823529413,19.647058823529413,7.529411764705882,1.0588235294117647,48.470588235294116,1.0588235294117647,0.35294117647058826,3.9176470588235293,0.47058823529411764,5.223529411764706,25.058823529411764,132.11764705882354,72.11764705882354,0.5882352941176471,0.0,0.35294117647058826,0.9411764705882353,27.176470588235293,0.0,0.5882352941176471,0.9411764705882353,0.0,0.0,0.11764705882352941,0.0,4.235294117647059,1.7647058823529411,1.2941176470588236,6.788235294117648,0.0,0,0,1
9,Manuel Akanji,ch SUI,Manchester City,27,1995,29.0,24.0,"2,287",25.4,0.0,0.0,0.07874015748031496,0.0,0.9448818897637796,4.566929133858268,0.6692913385826772,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07,Matches,0.5236220472440946,0.59,0.08,0.0,0.0,0.6259842519685039,0.0,0.003543307086614173,-0.05118110236220473,-0.05118110236220473,75.27559055118111,80.94488188976378,3.661417322834646,1284.8031496062993,403.85826771653547,34.13385826771654,35.51181102362205,3.783464566929134,35.55118110236221,37.20472440944882,3.763779527559055,4.606299212598426,6.535433070866142,2.7755905511811023,0.03937007874015748,0.023622047244094488,0.2755905511811024,5.511811023622047,0.11811023622047245,0.03937007874015748,78.70078740157481,2.1653543307086616,1.1023622047244095,0.0,0.31496062992125984,0.2362204724409449,1.062992125984252,0.0,0.0,0.0,0.0,0.07874015748031496,0.31496062992125984,0.91,0.8661417322834646,0.0,0.0,0.03937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4173228346456694,0.984251968503937,0.5905511811023623,0.7086614173228347,0.11811023622047245,0.9055118110236221,1.4173228346456694,2.515748031496063,0.5118110236220472,1.062992125984252,0.35433070866141736,0.7086614173228347,0.6299212598425197,2.047244094488189,1.299212598425197,0.03937007874015748,87.83464566929135,4.7637795275590555,32.08661417322835,49.13385826771654,6.929133858267717,1.3385826771653544,87.83464566929135,0.4724409448818898,0.2362204724409449,1.968503937007874,0.11811023622047245,0.984251968503937,60.787401574803155,332.40157480314963,198.38582677165354,1.5748031496062993,0.03937007874015748,0.4724409448818898,0.11811023622047245,68.26771653543308,0.0,0.9448818897637796,0.4724409448818898,0.0,0.0,0.0,0.0,5.354330708661418,0.9055118110236221,1.3385826771653544,1.5905511811023623,258.0,0,0,1
