team,nationality,16/17,17/18,18/19,19/20,20/21,21/22,22/23,23/24,24/25,25/26,Title Points,Total Points,Country Part
Bayern München,Ger,22.0,29.0,20.0,36.0,27.0,26.0,27.0,28.0,27.25,17.75,,260.0,31.269
Real Madrid,Esp,33.0,32.0,19.0,17.0,26.0,30.0,29.0,34.0,24.5,14.0,,258.5,36.683
Manchester City,Eng,18.0,22.0,25.0,25.0,35.0,27.0,33.0,28.0,14.75,15.5,,243.25,40.914
Paris Saint-Germain,Fra,20.0,19.0,19.0,31.0,24.0,19.0,19.0,23.0,33.5,15.5,,223.0,26.294
FC Barcelona,Esp,23.0,25.0,30.0,24.0,20.0,15.0,9.0,23.0,36.25,13.0,,218.25,36.683
Liverpool,Eng,,30.0,29.0,18.0,24.0,33.0,19.0,20.0,29.5,14.0,,216.5,40.914
Atlético Madrid,Esp,29.0,28.0,20.0,22.0,16.0,19.0,8.0,24.0,26.5,14.0,,206.5,36.683
Arsenal,Eng,19.0,21.0,26.0,10.0,23.0,,17.0,22.0,36.0,22.0,,196.0,40.914
Manchester United,Eng,26.0,20.0,19.0,22.0,26.0,18.0,19.0,7.0,32.5,,,189.5,40.914
Borussia Dortmund,Ger,22.0,10.0,18.0,18.0,22.0,10.0,18.0,29.0,27.75,14.0,,188.75,31.269
Chelsea,Eng,,18.0,30.0,17.0,33.0,25.0,21.0,,30.0,13.0,,187.0,40.914
Juventus,Ita,33.0,23.0,21.0,22.0,21.0,20.0,17.0,,16.25,13.0,,186.25,33.491
AS Roma,Ita,13.0,25.0,17.0,11.0,24.0,23.0,22.0,21.0,14.5,8.0,,178.5,33.491
Internazionale,Ita,4.0,,15.0,25.0,9.0,18.0,29.0,20.0,40.25,14.0,,174.25,33.491
Tottenham Hotspur,Eng,10.0,21.0,26.0,16.0,15.0,5.0,18.0,,32.25,14.0,,157.25,40.914
Bayer Leverkusen,Ger,18.0,,11.0,18.0,10.0,14.0,19.0,29.0,23.25,13.0,,155.25,31.269
FC Porto,Por,17.0,17.0,23.0,7.0,23.0,10.0,18.0,19.0,9.75,9.0,,152.75,22.363
Benfica,Por,17.0,4.0,17.0,10.0,10.0,20.0,25.0,14.0,18.75,10.0,,145.75,22.363
Ajax,Ned,22.0,1.5,27.0,13.0,19.0,22.0,8.0,5.0,13.25,8.0,,138.75,20.913
Sevilla,Esp,19.0,21.0,13.0,26.0,19.0,12.0,21.0,6.0,,,,137.0,36.683
Napoli,Ita,17.0,10.0,18.0,19.0,10.0,9.0,25.0,17.0,,11.0,,136.0,33.491
Olympique Lyon,Fra,22.0,14.0,17.0,23.0,,21.0,,,22.75,11.5,,131.25,26.294
Atalanta,Ita,,11.0,2.5,20.0,17.0,16.0,,28.0,21.0,15.5,,131.0,33.491
RB Leipzig,Ger,,17.0,5.0,27.0,17.0,17.0,18.0,18.0,8.0,,,127.0,31.269
Shakhtar Donetsk,Ukr,14.0,19.0,10.0,22.0,14.0,6.0,11.0,10.0,11.0,9.62,,126.625,11.271
Villarreal,Esp,9.0,8.0,16.0,,30.0,24.0,12.0,16.0,,7.0,,122.0,36.683
Eintracht Frankfurt,Ger,,,24.0,9.0,,28.0,16.0,7.0,23.0,9.0,,116.0,31.269
Sporting CP Lisbon,Por,6.0,17.0,10.0,10.0,2.5,16.0,14.0,12.0,14.5,13.0,,115.0,22.363
Club Brugge,Bel,4.0,1.5,11.0,8.0,11.0,7.0,17.0,21.0,15.75,9.0,,105.25,18.85
FC Salzburg,Aut,5.0,21.0,16.0,10.0,7.0,17.0,9.0,7.0,8.0,3.0,,103.0,13.735
Lazio,Ita,,17.0,6.0,4.0,17.0,9.0,6.0,18.0,26.0,,,103.0,33.491
PSV Eindhoven,Ned,6.0,1.0,6.0,6.0,10.0,10.0,11.0,17.0,21.25,12.0,,100.25,20.913
Olympiakos Piraeus,Gre,10.0,5.0,8.0,10.0,10.0,8.0,3.0,17.0,18.5,10.0,,99.5,13.727
AC Milan,Ita,,12.0,7.0,,12.0,7.0,24.0,16.0,19.0,,,97.0,33.491
FC København,Den,16.0,7.0,4.0,14.0,2.5,13.0,7.0,15.0,7.38,11.0,,96.875,13.446
Feyenoord,Ned,5.0,6.0,2.0,4.0,4.0,24.0,17.0,8.0,18.0,3.0,,91.0,20.913
Glasgow Rangers,Sco,,0.25,5.0,11.0,15.0,19.0,4.0,14.0,19.25,3.0,,90.5,12.765
AS Monaco,Fra,25.0,6.0,5.0,,,15.0,9.0,,17.0,13.0,,90.0,26.294
Dinamo Zagreb,Cro,4.0,1.5,14.0,8.0,17.0,9.0,7.0,9.0,14.0,5.0,,88.5,10.33
Slavia Praha,Cze,1.5,6.0,14.0,6.0,16.0,10.0,6.0,15.0,4.0,9.0,,87.5,14.325
FC Basel,Sui,6.0,19.0,2.5,19.0,2.5,12.0,17.0,1.5,,4.0,,83.5,11.985
Olympique Marseille,Fra,,19.0,3.0,,6.0,16.0,8.0,18.0,,12.0,,82.0,26.294
Sporting Braga,Por,5.0,9.0,2.0,10.0,9.0,16.0,7.0,7.0,7.0,9.0,,81.0,22.363
Fiorentina,Ita,11.0,,,,,,20.0,22.0,20.0,6.0,,79.0,33.491
Viktoria Plzen,Cze,5.0,13.0,11.0,2.0,2.5,2.5,4.0,17.0,13.25,8.0,,78.25,14.325
Lille OSC,Fra,1.0,,,5.0,8.0,17.0,,17.0,24.0,6.0,,78.0,26.294
AZ Alkmaar,Ned,6.0,,1.5,8.0,6.0,13.0,19.0,4.0,12.5,6.0,,76.0,20.913
Fenerbahçe,Tur,10.0,1.5,8.0,,,5.0,17.0,14.0,11.25,8.0,,74.75,15.605
Celtic,Sco,7.0,8.0,6.0,10.0,3.0,6.0,6.0,7.0,16.0,5.0,,74.0,12.765
Real Sociedad,Esp,,9.0,,,8.0,9.0,16.0,18.0,14.0,,,74.0,36.683
Real Betis,Esp,,,10.0,,,11.0,16.0,6.0,19.25,11.25,,73.5,36.683
Red Star Belgrade,Srb,1.5,8.0,7.0,6.0,10.0,15.0,4.0,5.0,10.0,7.0,,73.5,10.125
West Ham United,Eng,1.5,,,,,21.0,29.0,19.0,,,,70.5,40.914
AA Gent,Bel,10.0,1.0,2.5,10.0,3.0,11.0,11.0,10.0,7.0,,,65.5,18.85
Galatasaray,Tur,,0.5,8.0,6.0,2.5,15.0,,8.0,12.75,12.0,,64.75,15.605
Young Boys,Sui,6.0,5.0,7.0,6.0,11.0,8.0,2.5,7.0,6.0,6.0,,64.5,11.985
Besiktas,Tur,20.0,19.0,5.0,3.0,2.0,4.0,,3.0,6.0,2.5,,64.5,15.605
PAOK Thessaloniki,Gre,8.0,1.5,3.0,2.5,5.0,13.0,1.5,15.0,7.75,7.0,,64.25,13.727
Dynamo Kyiv,Ukr,8.0,12.0,11.0,6.0,10.0,5.0,3.0,2.5,3.0,2.5,,63.0,11.271
Qarabag FK,Azb,5.0,6.0,3.0,4.0,3.0,9.0,6.0,11.0,3.0,11.0,,61.0,7.825
Aston Villa,Eng,,,,,,,,17.0,30.25,11.5,,58.75,40.914
Ferencváros,Hun,1.0,0.5,1.0,6.0,5.0,3.0,12.0,9.0,10.0,11.25,,58.75,8.137
Bodø/Glimt,Nor,,,,,2.0,15.0,3.0,8.0,21.0,9.0,,58.0,11.917
